EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
1947,2,[0],[63],6822.5
1949,3,[14],"[38, 49]",7478.0
1954,4,"[8, 40, 41]",[1],6441.5
1957,5,"[3, 4, 11, 13]",[41],7725.0
1958,3,"[3, 4]",[55],7002.333333333333
1960,0,[],[],0
1964,2,[],"[45, 48]",7249.5
1982,2,[],"[55, 60]",7421.0
1986,1,[],[15],6471.0
1988,2,[6],[21],8171.5
1992,5,[29],"[32, 46, 47, 52]",7055.0
2001,0,[],[],0
2003,1,[],[57],8141.0
2013,2,[32],[26],7904.0
2015,2,[11],[39],7275.5
2020,1,[6],[],8178.0
2021,1,[18],[],6126.0
2024,3,[],"[5, 10, 11]",6541.0
2032,0,[],[],0
2034,0,[],[],0
2035,4,[],"[28, 31, 33, 35]",7495.0
2038,2,[9],[31],6874.5
2041,4,[0],"[45, 46, 47]",7810.75
2048,0,[],[],0
2068,2,[30],[17],8120.0
2075,4,[],"[24, 29, 30, 33]",7477.5
2077,3,[],"[16, 21, 53]",7619.0
2080,0,[],[],0
2084,5,"[12, 35, 47, 55]",[52],7103.2
2096,1,[],[9],8176.0
2101,2,[8],[9],7733.5
2114,2,[0],[49],7588.0
2116,4,[],"[24, 31, 32, 43]",6466.25
2140,4,[],"[8, 10, 11, 12]",7626.75
2149,3,[],"[17, 18, 19]",6852.333333333333
2151,3,"[0, 58]",[59],7299.0
2163,2,[],"[48, 49]",8191.0
2171,1,[51],[],8191.0
2174,2,[25],[10],6596.5
2179,0,[],[],0
2180,2,[0],[58],6474.5
2186,0,[],[],0
2189,2,[59],[33],7034.5
2211,1,[19],[],7783.0
2217,6,[1],"[47, 52, 57, 59, 61]",7297.166666666667
2244,2,[5],[41],6862.5
2246,2,[0],[17],8191.0
2247,3,"[9, 10]",[11],6110.333333333333
2253,2,[13],[43],8160.0
2255,2,[5],[9],7611.5
2258,2,[10],[29],8158.5
2267,1,[16],[],7058.0
2270,4,[8],"[43, 44, 46]",7104.0
2271,4,"[3, 5, 6]",[16],7504.25
2284,1,[],[52],8161.0
2285,3,[],"[48, 49, 52]",6644.666666666667
2287,4,[],"[53, 57, 58, 59]",7473.0
2304,0,[],[],0
2305,1,[37],[],8177.0
2312,3,[8],"[17, 25]",7286.666666666667
2317,4,[1],"[47, 54, 57]",7403.5
2324,3,[],"[38, 39, 40]",7340.333333333333
2350,3,[10],"[4, 42]",7265.333333333333
2352,4,"[1, 2, 5]",[63],7772.5
2355,2,[],"[62, 63]",8180.5
2359,2,[0],[50],7939.5
2362,4,[],"[6, 28, 30, 33]",7240.25
2370,1,[5],[],8191.0
2381,2,[],"[16, 39]",7431.5
2392,2,[21],[27],7007.5
2394,2,[7],[45],7789.5
2396,2,[0],[43],8012.5
2410,0,[],[],0
2411,2,[17],[25],6642.0
2427,2,[9],[56],6302.0
2430,1,[],[60],5749.0
2451,5,[],"[4, 6, 12, 13, 15]",6889.6
2455,0,[],[],0
2462,1,[7],[],8191.0
2470,2,[41],[7],7678.5
2477,2,[9],[35],5967.0
2483,2,[],"[27, 28]",7130.0
2488,0,[],[],0
2490,2,[0],[48],6904.5
2494,3,"[39, 40]",[3],6352.666666666667
2495,1,[0],[],8191.0
2503,2,[],"[48, 54]",6192.5
2506,1,[2],[],8133.0
2507,1,[],[55],8158.0
2509,1,[57],[],7871.0
2513,3,[],"[34, 35, 36]",8156.0
2527,2,[9],[25],7306.0
2546,1,[4],[],8158.0
2550,1,[30],[],8049.0
2558,2,[8],[36],7506.0
2577,0,[],[],0
2580,3,"[7, 28]",[33],8169.0
2584,4,"[0, 3, 5]",[53],7494.0
2598,2,[11],[32],6860.0
2599,1,[55],[],5688.0
