EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
5573,7,[1],"[35, 41, 42, 43, 45, 46]",286.57142857142856
5585,2,[8],[35],326.0
5592,1,[],[46],338.0
5596,3,[6],"[14, 15]",277.6666666666667
5648,2,[16],[19],302.0
5655,2,[12],[40],363.5
5663,1,[],[25],241.0
5664,4,"[4, 39, 40]",[17],376.75
5665,4,"[1, 4, 5]",[17],301.75
5692,4,[],"[2, 3, 21, 22]",244.75
5695,3,"[40, 41]",[33],305.6666666666667
5704,5,[1],"[34, 52, 59, 63]",305.8
5705,1,[55],[],255.0
5708,3,[26],"[21, 22]",289.3333333333333
5714,3,[0],"[36, 39]",320.6666666666667
5717,2,[12],[33],368.0
5726,2,[],"[27, 30]",292.0
5737,3,[8],"[38, 39]",286.6666666666667
5742,2,[],"[46, 47]",437.5
5743,0,[],[],0
5752,7,"[1, 2, 3, 4, 5, 6]",[11],324.85714285714283
5762,6,[7],"[42, 43, 55, 57, 62]",313.8333333333333
5773,3,"[5, 6]",[21],265.0
5775,3,[4],"[10, 17]",324.0
5779,4,"[1, 32, 33]",[24],346.0
5785,3,[27],"[60, 61]",292.6666666666667
5787,1,[4],[],392.0
5788,3,[6],"[1, 2]",302.0
5792,1,[],[22],317.0
5807,0,[],[],0
5814,1,[32],[],507.0
5822,3,[40],"[34, 35]",266.6666666666667
5825,2,[10],[32],327.0
5830,4,[0],"[15, 16, 25]",329.75
5836,3,[22],"[25, 26]",279.0
5840,1,[11],[],383.0
5870,3,[15],"[41, 62]",328.0
5873,4,[],"[7, 8, 9, 14]",355.5
5874,5,"[4, 14, 15, 53]",[43],291.8
5875,4,"[5, 20, 32]",[12],261.5
5885,3,[19],"[41, 61]",251.0
5889,0,[],[],0
5895,6,"[6, 7, 9, 10, 20]",[25],274.0
5903,3,"[12, 13]",[13],310.6666666666667
5909,1,[],[12],370.0
5918,6,"[13, 31, 32, 45, 46]",[14],316.5
5919,3,[2],"[46, 47]",300.3333333333333
5935,4,[0],"[17, 19, 20]",278.25
